,ciphertext,degrees_ranked
22384,~0119d62732773a3971,Masters
22385,~0164113c4960c9976a,
22386,~010be87fef0233088a,
22387,~019073f5355cbce250,Bachelors
22388,~010bdbd8fe66b8ba18,Bachelors
22389,~01d1fb4700f686121e,Masters
22390,~018edacaddfb0b4c18,Masters
22391,~019d7bf52cac5a8d99,
22392,~011f57257d40142435,Bachelors
22393,~01b8800eb239f1cf53,Bachelors
22394,~0114f29fbf4f6e9344,Bachelors
22395,~0122cce094b8320e66,Bachelors
22396,~01f3e43545b82d0f58,Masters
22397,~01aff0aa1d30a6aad5,Bachelors
22398,~0105ac050d2306472f,
22399,~0185da80f606a083cd,
22400,~01ac4cb5af0a896c0c,Bachelors
22401,~0144f740a01e20674c,Masters
22402,~01b60adeab5c8e7299,PhD
22403,~01f7f17ecf919b020f,Bachelors
22404,~012e440f8d35ae9b31,Bachelors
22405,~01ea1d03d7f63e34b6,Masters
22406,~01285ff37a5d41cbfa,Bachelors
22407,~0110c74220e27e0592,Masters
22408,~01b3fff68297f8d667,Bachelors
22409,~018130500024a3b478,Bachelors
22410,~01f8b26da7bececb55,Bachelors
22411,~01415547c2633f1411,Bachelors
22412,~0114367f395a1c8e00,Masters
22413,~015c93be821cdf953e,Masters
22414,~01d4ab7381f53b96e1,Bachelors
22415,~013fe43da2d5db8e26,Bachelors
22416,~01095aabfbc2cdb1e7,PhD
22417,~0190c0852e685de98d,
22418,~010bd6f2fe12a5fb20,Bachelors
22419,~019b5c7b5d099eca13,Bachelors
22420,~017b4829e5cd52f0ca,Masters
22421,~0133a8a5d2a489376c,Masters
22422,~017e439e3e55a35d21,Bachelors
22423,~0145cbe2b9824fba89,Bachelors
22424,~01508dcfa7db6c8b88,
22425,~0157c9da82e454e79c,
22426,~01228ba69bbb7ef4b7,Bachelors
22427,~01f687a253f2a20e85,Masters
22428,~01f9e1bb4be6fa33ba,
22429,~01e1d01b2c5db1e0e3,Masters
22430,~0190ae62deb407c554,Bachelors
22431,~010c432a2567064a67,Bachelors
22432,~011d5d0828d3035a51,Bachelors
22433,~01c42c43b151fab062,Masters
22434,~01ed4c283b38bdf99b,Bachelors
22435,~0126b7bf22aebdac54,Bachelors
22436,~010c47dcb6dcb47ac2,Bachelors
22437,~01afd991b2b9105a10,Masters
22438,~0129dc3bff58fb591c,Bachelors
22439,~013b288f083e4c8f25,
22440,~014944f2eee138b1b5,Masters
22441,~018b178d9610f78535,Bachelors
22442,~01046f7111e10b1d83,Bachelors
22443,~0103c54e07496f04c7,Masters
22444,~01f657209a0d4e6176,PhD
22445,~01960206b4d2d10670,Masters
22446,~01ca28875bba956870,Masters
22447,~01c211599870ad837b,Bachelors
22448,~010ba24ad101b38d49,Bachelors
22449,~011f811892b9d1c74a,Bachelors
22450,~01f21e31933a3bda5e,Bachelors
22451,~01b277809000c43a04,Masters
22452,~01446ba6506c84eb1a,Bachelors
22453,~0154a2f27c2a696cf8,Masters
22454,~01df5b5080915a90a0,Masters
22455,~013bbd9b3947f708e6,
22456,~014ef6837661445373,Bachelors
22457,~01f1032db1ec36ed14,Bachelors
22458,~013ee8aee8b4d18f5b,Masters
22459,~01629f673603b0967a,
22460,~01b1b34d5b66271ee3,Bachelors
22461,~01ab72285b01a4a756,Bachelors
22462,~01e91c48adf280e8e0,Bachelors
22463,~01a7dbcd29ad8e3ab3,Bachelors
22464,~0152b6af097db7a108,Bachelors
22465,~01fb13bb32ecd3fe14,Bachelors
22466,~0130780184e4ddc108,Bachelors
22467,~0165dc700fb39eaf40,Bachelors
22468,~01802ca075c860c04f,Masters
22469,~016a310b693192f02f,Bachelors
22470,~01df641e31866d58d4,
22471,~0184d806193d420850,
22472,~01b1513fef6ff553d4,Bachelors
22473,~0161d3871fee298aa5,Bachelors
22474,~01b57176f41ccb1bce,Bachelors
22475,~01fcc595629eb2b9d3,Bachelors
22476,~0185eacd33fe984caa,Bachelors
22477,~0163027a62376e0790,Masters
22478,~0103608c57fef38f4e,Bachelors
22479,~014c9dfc484a989be9,Masters
22480,~016e3f669dfdb2a293,Bachelors
22481,~01ce33aad06de43bb2,Bachelors
22482,~01a7a4cd9aa849745c,Bachelors
22483,~01ec9c6efbc2f75570,
22484,~0177d5c95ce09f09ec,Masters
22485,~01aa7ad613697cd87e,
22486,~01ca254e87ff15d71e,other
22487,~01af1a2ceccbb1169f,
22488,~0182840728094d3928,Masters
22489,~01a8228b9328b7ce4a,Masters
22490,~0114dbd9b648a433b0,
22491,~019d23abbc242148eb,Masters
22492,~012f86f3a9afb5b25c,Bachelors
22493,~013e6da7ee8f5d17a5,Bachelors
22494,~0171524a4d07c0a88e,Masters
22495,~0112c8bbdfde888713,Bachelors
22496,~015cfe873af83351b1,Bachelors
22497,~011e6c4aa722dcc9a0,Masters
22498,~0101a1dc2a1879277e,Masters
22499,~0172125e2c9856fff2,
22500,~01b981d36af2b5250b,Bachelors
22501,~01cfbe17aa180d5e09,Masters
22502,~01fa172901029f9540,Bachelors
22503,~0184f1c420d46cf307,Bachelors
22504,~017204d614dcd908df,Bachelors
22505,~0160fdb37a8572b968,Masters
22506,~0150915477e8bf87e1,Masters
22507,~01a2a8c8612c0036eb,Masters
22508,~010ef49d65e1c5c757,Bachelors
22509,~01db5df2c2dbd68972,Bachelors
22510,~010057f4778a1879ae,Associates
22511,~01492b7cb23c866fa7,
22512,~01968ef709aa46bcee,Bachelors
22513,~014bbbc6bebb9e15ac,Masters
22514,~012b6e3e5529f38b1a,Masters
22515,~01318f0e71a4f68035,Masters
22516,~0155037bb47e106cfe,Bachelors
22517,~018a0307c371128128,Masters
22518,~0159e7682a73c15adf,Masters
22519,~01bc1b94cbade72bc7,Bachelors
22520,~0170de1709858fe364,Masters
22521,~01077f79d184d64bf4,
22522,~0151ef174de5e52c92,Bachelors
22523,~01deedf765bb7471b6,Masters
22524,~0184194bc9a0db16a7,Bachelors
22525,~019fc38e6c2db58d79,Bachelors
22526,~0176b05045168c2073,Bachelors
22527,~01a48f97b839d22ef7,Masters
22528,~01e87478d720c984a7,Masters
22529,~01e489c4759ee4e6b7,Masters
22530,~01a5c210b017ca7edf,
22531,~01a15ce3833aef0cb2,Masters
22532,~01dfc943a7906c9f50,
22533,~01be4e51fdb938d42a,Bachelors
22534,~011eef1f9351a20308,PhD
22535,~01e8c70e68c85a0724,Masters
22536,~01eb6d88e5ceff6554,Bachelors
22537,~01ca8a49ed15d4f322,Masters
22538,~017e4ffc48da7089fb,Bachelors
22539,~01b03cd9c0e4f70c31,Bachelors
22540,~014af9e7001f6f37a5,Bachelors
22541,~010f02bf16b7524207,
22542,~01eddc73c04cf032aa,
22543,~019c3f2df8d20aa59c,Bachelors
22544,~0181e1cc2ec01367de,Bachelors
22545,~016d1baed7f6e2a863,
22546,~01fd2b47b87d66b065,Bachelors
22547,~015d2544f41b49b244,Bachelors
22548,~01a034722a1462a344,Bachelors
22549,~018d66760468efc55f,Bachelors
22550,~019619ac727b6b2de0,Bachelors
22551,~01d6bc7fef6d893092,Masters
22552,~01f5c245a2f70cfb6d,Bachelors
22553,~0190010802ccd56f23,High School
22554,~016917d9b2515b30d8,Masters
22555,~015097189d2e17b237,Bachelors
22556,~012e66246df9458cec,Bachelors
22557,~01d0be9022daf037d9,Bachelors
22558,~017856fd0921633234,Bachelors
22559,~017170826a79b732e2,PhD
22560,~01fa64bbdf0e5af9aa,
22561,~01e08879a4d1e243c0,Bachelors
22562,~0148113a2bb082efc6,PhD
22563,~01aaf0b7f13864a21e,
22564,~01216f6515ecfa461c,Bachelors
22565,~01970aa0f35ff8cfb8,Masters
22566,~01a0680e7405ba5d8e,Bachelors
22567,~0130aa6a8649e7b244,Bachelors
22568,~01f8781c4934ecaf96,Bachelors
22569,~0127ad67752f9f9828,Masters
22570,~01f4880f99ed706090,Masters
22571,~01991d17850ce104ac,
22572,~01863ba65c959b377c,
22573,~01af6d5ae361bc20e6,Masters
22574,~0110d70ebd75b05af3,Bachelors
22575,~014c8b73853bdc5940,
22576,~01b55f97770c814979,
22577,~015b0bf451e553b647,Masters
22578,~01d2186426ab0d03f4,Bachelors
22579,~01e04dbfccde3573f7,Bachelors
22580,~01b5da87ef96d7e327,Masters
22581,~015f87df777a0e7891,Bachelors
22582,~01bc295d1cdb61b60c,
22583,~01719aa98c48bbfe32,Bachelors
22584,~01f36bfd6ff919514b,Masters
22585,~014f98da1e8f958378,Masters
22586,~0161b23449152ea1f0,Masters
22587,~014e57f46f37773075,Masters
22588,~015b44f1be2efa7d59,Masters
22589,~019bfcb5bf29ac91ae,Bachelors
22590,~01dbb8f3babe08c637,Bachelors
22591,~01f19f0c7bb8b07ea7,
22592,~011bbf94ae89eb1f95,Masters
22593,~01ab75103a19cbc9b8,PhD
22594,~01d0ca760688db0743,
22595,~01c0ab41dd7f53dfc6,Masters
22596,~01750d45426a9fe372,Bachelors
22597,~01df40ffa3f8814a51,Masters
22598,~01ba0e018de993b5cb,Bachelors
22599,~01e535104063dfc04a,Bachelors
22600,~01d19dd11afb082099,Masters
22601,~017126ce3dc81545c5,Bachelors
22602,~01f56709c0b9e422ef,Bachelors
22603,~0118c52b888b34a0c9,Masters
22604,~01791fa28d0eef1891,Masters
22605,~01df33fc04a1f84e78,Masters
22606,~011294f14e5491a3e1,Bachelors
22607,~01f3f3303abebd7ee9,Masters
22608,~016d3846e89cf38485,Bachelors
22609,~015bbfe7adf83ba2c2,Masters
22610,~01a450a305f7192468,Bachelors
22611,~01735d52f1ed3a2b91,Masters
22612,~018d0345323d0c1109,
22613,~014d435b94b5f71a8d,Bachelors
22614,~01beae09f1b9dc7f2a,Bachelors
22615,~0141c00cfc26fc9fbd,Masters
22616,~011904282e1c87a7b8,Bachelors
22617,~01e9def8a1a274c017,
22618,~0103e46f1519b6033d,Bachelors
22619,~01afc890307e1bfed9,Bachelors
22620,~0145b07ebc8c1134f3,
22621,~01065ec0222663d3d5,Masters
22622,~01fe44bf0a6b968aca,Bachelors
22623,~01cdfa0160819fe6e5,Masters
22624,~018629db195935e235,Bachelors
22625,~01c8c86db7193c94a6,Masters
22626,~01066c4ce12c750ad6,PhD
22627,~019335b6d202e86ab3,
22628,~01bb5f901fc66077f5,PhD
22629,~0129408dd00476274a,Associates
22630,~019cb7007ac31c1e68,Bachelors
22631,~01a751c2cfe08f7a8e,
22632,~010f6990dd046ec4ca,
22633,~018abd12120455207c,Bachelors
22634,~01b852ad0c3bc74a78,Bachelors
22635,~01698f4f8d70cbb938,
22636,~01f5ff31aeb7d1a4ba,Bachelors
22637,~015e9e5b32c41cb3a3,Bachelors
22638,~01349662e265f3f4b3,
22639,~012b0a5e859a94b4d1,
22640,~0156fa8b4c1b4d318b,Masters
22641,~01441678b80d6be735,Bachelors
22642,~01864f664f2c2b6d08,Bachelors
22643,~0184032a8fb367d77b,Bachelors
22644,~015489d1b8c629cdae,
22645,~01de8dd7f329fbf535,
22646,~01fce5b9034b394354,Masters
22647,~01ad508d353e891d4b,Bachelors
22648,~01207ced116370cb7f,Masters
22649,~01c365a8f4a8106776,
22650,~01e49ea17b08976259,Bachelors
22651,~0195073cefc2aa4169,Bachelors
22652,~01454a3ac7b953f608,Bachelors
22653,~01f7d9155f5ee8c65e,Bachelors
22654,~01335339d41cdedcf4,Associates
22655,~0161675b1c43fbe2d4,Masters
22656,~01649152df65ff988f,Bachelors
22657,~011ddcc8275a8d79a4,Bachelors
22658,~017deb98ce0e00294e,Bachelors
22659,~01052d8e9668037b70,Associates
22660,~01fffbd12050bf82fe,PhD
22661,~01ac0c14a58d21c417,Masters
22662,~0127e786395be86eeb,Bachelors
22663,~0132accb598829fdd6,Masters
22664,~016ab7c8f374b8479f,PhD
22665,~018eb0fd409e9cd1bc,Masters
22666,~0100cf434f03233cb8,Bachelors
22667,~01ab6d94725bdf3928,Masters
22668,~015c67eef97bb2e28a,
22669,~01e91d55b8b882491d,Bachelors
22670,~013d279416e824b2b4,PhD
22671,~01e3ac214af7be864e,
22672,~01d83b427ff0b95114,Bachelors
22673,~0146bd80f7aea012b6,Masters
22674,~0152126f008d1b70b5,Masters
22675,~017fe47bf7ec531a3c,Masters
22676,~01333ba866dbe69bc3,Masters
22677,~011bb6baef5a5e9ca3,Bachelors
22678,~0171d120ea3a2bcfe0,Bachelors
22679,~015e2b865e0d70e5d3,Bachelors
22680,~01e65412c75ef4e927,
22681,~019268202e0d518ce1,Bachelors
22682,~01dde7a7d1719e6a18,Bachelors
22683,~019d8262e6b2cdecda,Masters
22684,~01ffe83482e22e75d6,Bachelors
22685,~013257bca67b9c1e15,Masters
22686,~0141992dbc38423989,Bachelors
22687,~01859d858d4f3320fa,Bachelors
22688,~01a08d76a8a325a6a6,Masters
22689,~01d7431a4660eab0a4,Bachelors
22690,~01527b110032036487,Masters
22691,~016158c03bd15b6498,Bachelors
22692,~0198c19dd201b442c9,Bachelors
22693,~0174b15256d8e2df06,
22694,~01cd98972ab9eb882a,Masters
22695,~013926a5a3bb55ab27,Bachelors
22696,~01c1eec0c2dca06299,Bachelors
22697,~01c11fac29ae618ae7,Bachelors
22698,~012181f3772bf73864,Bachelors
22699,~0128011c6d22f7a2d9,Bachelors
22700,~0140fa0c2732ffe1b5,Bachelors
22701,~015bef569991f3d5ad,Masters
22702,~0168f21fca0c0cb5bc,Bachelors
22703,~01b2b87d4529fdb1a8,Masters
22704,~010773429dfd700e6f,PhD
22705,~011ffa2e1628c3606a,Masters
22706,~014dc90823c2677707,Masters
22707,~01fa94c37cc47f0316,
22708,~01a96b2ba5c809ec05,
22709,~013ff9b9036442ddbc,Bachelors
22710,~0144a906bece00edd2,Masters
22711,~01c897b564d97e4e3b,Bachelors
22712,~01830c36a8db768aba,
22713,~01e5cfee40b8049395,Masters
22714,~0118a16011d34cebf8,Masters
22715,~01f019ccd555279898,Bachelors
22716,~01b4cc288c6389a4f6,Masters
22717,~01d3fb93c4d379f231,Bachelors
22718,~016a7233f84ab33de4,
22719,~015b121b25bafd0bb6,Masters
22720,~01e749fb8e3e15fc49,Bachelors
22721,~01f71151b2fdc71c30,Masters
22722,~01a436fb13db4bf0f9,Bachelors
22723,~019a6d1e9d2835f6bf,Bachelors
22724,~01ccd36046941102e3,Bachelors
22725,~0132f7fc92028dcc78,Bachelors
22726,~018926a9a909320419,
22727,~01b235c2013a7351ec,Masters
22728,~016ac87ebb14b37605,Bachelors
22729,~012d124ff60a92ad24,Masters
22730,~0164dd315950b2e7cd,PhD
22731,~01f9fa4c34199412ce,Masters
22732,~01d82bdad233ae0ab7,Masters
22733,~01bf0a7b747a38703f,Bachelors
22734,~014f1c8810948c93b8,Masters
22735,~012c226862d5c79241,Bachelors
22736,~014b696d497c9d8b20,Bachelors
22737,~01ba8da425498485b6,
22738,~01ac99afd52ea598a1,Associates
22739,~01c1bda269da9250ce,
22740,~0195b011e86872b9b0,Bachelors
22741,~01a16c8ce0d77f0623,Masters
22742,~0147c5ee1f0e92c798,
22743,~01060778c0bf81bc43,
22744,~01c975d46bfcf1743c,Bachelors
22745,~01d4faef138c332b42,PhD
22746,~01cc1b7c5ebd5da9e5,Bachelors
22747,~0192530157bfd96178,Masters
22748,~015282bb8c62851f83,Bachelors
22749,~01dfbcbc5dc97a0b4f,Bachelors
22750,~01dd8f5bd3e1a0841e,Masters
22751,~014ab84d0be14e9d3f,Masters
22752,~0177438663aab6d38b,High School
22753,~015a7c057741239b16,Masters
22754,~013e8ce0ac404d8789,
22755,~015073935e87568dce,Bachelors
22756,~011ec702eb744ffee6,
22757,~01f16ff22ed98f067c,Bachelors
22758,~01aecb1e2c33fcf1bf,PhD
22759,~01c3cdcb2f25562dd7,
22760,~019569328a767209f9,Bachelors
22761,~01bd1b375763c7269c,
22762,~014a939f70d4786d2c,Bachelors
22763,~01e7a16ebcf0fcee60,Associates
22764,~01d2c019d84778d10d,Masters
22765,~018a232ff63fc9e448,Bachelors
22766,~013a4b67e4b562e7e2,Masters
22767,~019780da9b4213462a,Masters
22768,~01a06d79b9081ab7d5,PhD
22769,~01798bf507fd56d7f4,Bachelors
22770,~017729f634ff0e1f37,
22771,~0148ab029703598dbe,Masters
22772,~01277990ecc25c8418,Masters
22773,~01e96aa83ef5d991ee,Bachelors
22774,~01bb6b29ba04c1dc77,Bachelors
22775,~0173e60a580cf2e715,Masters
22776,~015e07aa6d6b1f9ad0,Masters
22777,~01f26317b22bf4c4a3,Masters
22778,~0130c32d3f97d06b2d,Bachelors
22779,~01efa92b721b59fea3,Bachelors
22780,~01a69ab80269f4f624,Masters
22781,~01e767e2120331558f,PhD
22782,~014f056f28d76d11ac,Associates
22783,~0130ccd25a72ac1d3a,Bachelors
22784,~01035d3f353a519ed1,Masters
22785,~01389e09c59ba09f57,Masters
22786,~01ffcaaa0be56890a9,Bachelors
22787,~01505044d84627a502,PhD
22788,~0183d8ca8b7f33ad27,Masters
22789,~0116178da9c9544224,Masters
22790,~017680d896777641a5,
22791,~01566912bb88c2e449,Bachelors
22792,~016bb46d51b3c26bb5,Masters
22793,~01d0e49a680a4103ad,Masters
22794,~01841cc7d6e20775e5,Bachelors
22795,~0182067ee75a243815,
22796,~01bd44e797b21fdd08,Associates
22797,~01824f5431076437b3,Bachelors
22798,~01040468c0a1a50ca8,Masters
22799,~01b74bbf8a47004858,
22800,~012dd6febe7c2ed0fc,Bachelors
22801,~01f6b27a4a630f0ebf,other
22802,~013fbd8e5fd0bdeaf2,Bachelors
22803,~0115b05c434e43ac68,Masters
22804,~01c109d56727f6e92d,Bachelors
22805,~0131fb71aee59e2a4e,Masters
22806,~019a998ccaa35912d7,Masters
22807,~016a6d722e14e9a0b3,Associates
22808,~01871265c856f7bf33,Masters
22809,~01609ca8dacef97564,Bachelors
22810,~01d684a0323327a1db,Bachelors
22811,~01fcc24311b9ac1aa4,Bachelors
22812,~01edcbeaa8b7e5d3aa,
22813,~017d5aa3d346d4372e,Bachelors
22814,~0107f1d2e8bd217fdc,Bachelors
22815,~0149cf1e0c340b3203,Bachelors
22816,~01fb0e5e67f8fe552f,Bachelors
22817,~018b4c28dc26c2628e,
22818,~0156174eb0c88cdd1e,Masters
22819,~017332c1641956cc50,Bachelors
22820,~01a27575ed823d59c5,Bachelors
22821,~0158138ea98a258736,Bachelors
22822,~01d730e213a4bf7e4f,Masters
22823,~0104fdefec021b61ea,
22824,~0138bc35fe83ec8617,Bachelors
22825,~01c30aa7edc6500c37,
22826,~0160d434913c2ffb98,Bachelors
22827,~01ee9197afcef92954,Bachelors
22828,~01a2ff4fe4c2866a13,
22829,~01ae91a81a0a0fed72,Bachelors
22830,~0188ad96359a9441b7,Masters
22831,~017677ee08551092fc,Bachelors
22832,~013cc138c0f192e649,Bachelors
22833,~019b7dbf699f7ed586,Masters
22834,~0159a0e6b8a63fc3bd,Masters
22835,~0158150b34791fac15,Masters
22836,~0180b27f2fdf57c981,Bachelors
22837,~013ed99f439a5e7e3b,PhD
22838,~0146dad8b7e4f58405,Bachelors
22839,~017302de6a5fa42438,
22840,~01187d90edae011aa7,Bachelors
22841,~011c1aa3126b7c152b,Bachelors
22842,~0151f83bd86138c041,
22843,~016ec691c19a68520f,Masters
22844,~01fc3e9534aef56e04,Bachelors
22845,~01857a91ce6bbc35fa,
22846,~0147af076018e9d1d1,Bachelors
22847,~0188a221af680fca5d,Bachelors
22848,~014f9b86c0943df701,Bachelors
22849,~018a10ae771fff4276,Bachelors
22850,~01a218fc699fd201d7,Masters
22851,~0128de91beae86e48d,Bachelors
22852,~015360fd10b9b21e58,PhD
22853,~01ee6994ec0fcbae46,Masters
22854,~01a260810042e5d66d,
22855,~015f9b35447bb5fab9,Bachelors
22856,~010a3ed3a9b2e1fa54,Bachelors
22857,~01bf9b1fdb2104b1d7,Bachelors
22858,~0121404fa4b1d4d9a4,Bachelors
22859,~01d1987a56ed6c2644,Bachelors
22860,~012d76eb09e0d13275,Bachelors
22861,~011454859451d496d0,
22862,~01c359e239deca5020,
22863,~013a8fda36db9ad1cd,Masters
22864,~0121e8b02df8b339ea,Bachelors
22865,~0130946f5d451cdc58,
22866,~017354ae6de2d39612,Masters
22867,~01c845a76eac3f3f1a,Masters
22868,~01c0ba1ca54b488553,Bachelors
22869,~01fd5562455ad215e0,Bachelors
22870,~015781a6223feda3b7,Bachelors
22871,~01ee7df0c4cb92a1a0,Bachelors
22872,~018ca890d166eeb057,Bachelors
22873,~013c48c6f9bcdaca47,
22874,~01412b6722452bd35d,Masters
22875,~01f814767527bf2101,PhD
22876,~01cbcf78b9a2cd6375,Bachelors
22877,~017ece0685f91b4552,Bachelors
22878,~0181d46b63d6af332d,Bachelors
22879,~01a642c7d4a66ce908,Masters
22880,~01e7cd68f142a7ba4b,
22881,~0121495e80f8c16d0c,Bachelors
22882,~01564ab25356728c34,Bachelors
22883,~019423a045970d13d9,Bachelors
22884,~0162c4f23451bd09d1,Bachelors
22885,~01a569682e8e288b44,Masters
22886,~012dcae1e229f2d355,Masters
22887,~01752e8ad34eb36d7d,Bachelors
22888,~01636070b8b755fbe8,Masters
22889,~01eeccd2bf51be1c85,Bachelors
22890,~01e7f23dd568e34446,PhD
22891,~015882103ca940d8e7,Masters
22892,~019fe674a3313a19e7,
22893,~014daeeb1996916af6,Masters
22894,~01dcab37cdef0a2567,Bachelors
22895,~015bce727e38b9a624,Bachelors
22896,~018abbe3e0ce0a69da,Bachelors
22897,~01526f6fba15d4481d,Bachelors
22898,~01bb05af2d247e7791,Bachelors
22899,~01bde569869743dc2c,Bachelors
22900,~016eaa9e2e117557b1,Masters
22901,~018cc1add08285a8fb,Bachelors
22902,~01d948cc58b7894ea3,Bachelors
22903,~016a8ec3fb70f55f33,Masters
22904,~01db51e3a2de1c42fe,
22905,~0163e58a9f21b3f1e6,
22906,~0128099bda282ea8e3,PhD
22907,~0163d3c7a190907149,Bachelors
22908,~01ca0e1c5f4e047ed9,Bachelors
22909,~0182b0b98256f3a8f6,Bachelors
22910,~0141e092518c4985f2,PhD
22911,~01450e64a01f5f4ead,
22912,~01f43b8025b5a20111,
22913,~018dcc8b61d462520d,Bachelors
22914,~0125e2a1ca654a042a,Bachelors
22915,~017b579ca17dcc0b3d,
22916,~012f57f2d72ce33c2d,
22917,~01db08174eb4c9ec4c,Bachelors
22918,~01975a4f3fc6c6d7fd,PhD
22919,~01a4f910543a404ebb,Bachelors
22920,~0166552804e28488cd,Bachelors
22921,~015c695f877e47ab03,PhD
22922,~01d4b8f227d48b7f98,Masters
22923,~0112f389da7da998ef,
22924,~01326dc3d983d852ce,Bachelors
22925,~014090fd678079c5fa,Bachelors
22926,~015ab9e632c87f3066,Bachelors
22927,~0127b1e2c15f9fb923,PhD
22928,~01c656eb27938bee7f,Bachelors
22929,~017d9d5cf3d4142dd7,Bachelors
22930,~01ccaf68fdf9e563d3,Bachelors
22931,~01808d5ffae89ae4c0,Bachelors
22932,~01ddd3e4655b11eba7,Masters
22933,~01249f6a980067c3e8,Masters
22934,~015acd24fff51d4c64,Masters
22935,~01df9469320701f9d8,Bachelors
22936,~017aa6c8a704c7b54e,Masters
22937,~012c63ff22d4f062f5,Bachelors
22938,~019dacb20b4da3bbec,Masters
22939,~0127ca44127fd5acb3,Masters
22940,~011a8b7aafdff0fb1d,other
22941,~01a25501e19d3de75b,Masters
22942,~017ab1f15b32ac7558,Bachelors
22943,~01d7ddb350f91cdefb,Masters
22944,~01ad212d6610f45421,Masters
22945,~01c1929e350d29de17,Masters
22946,~0176ce0cc0421116d6,Masters
22947,~016ea83c9169826183,Bachelors
22948,~01d67914563d158cf0,Bachelors
22949,~01072ceb69744ef0b9,Bachelors
22950,~01441cb589ca593910,Masters
22951,~01e31b80a9b2326572,
22952,~01cc1046fb0339c344,High School
22953,~0137f6dbf0a8a8462a,Bachelors
22954,~0137df01738ceabca0,Masters
22955,~0178a172d5c2f6c8b2,Bachelors
22956,~013f8fe446331978c7,Bachelors
22957,~0144c90da700f0dede,Bachelors
22958,~01e2bf677201e8d0b3,Bachelors
22959,~01bc98ac4748b5926f,Masters
22960,~011653e2e77ebd7fb6,
22961,~0171af33edc8d6d1b8,
22962,~018a2b7dfecc2a63c8,Bachelors
22963,~01309ed765591a38de,Bachelors
22964,~01e219efeb3a7aa340,Bachelors
22965,~016e6c399caed7e3b7,Bachelors
22966,~019bc22d0428ff10d8,
22967,~015e63f4b42611c285,Bachelors
22968,~01d14799e4a812c990,Bachelors
22969,~0148f5eb8da44dc80a,
22970,~01742d475855c2e9b0,Bachelors
22971,~0174c6e78fde4f1c52,Bachelors
22972,~01ffe9b132801a0866,Bachelors
22973,~01fb43582b70466d9f,
22974,~01ddd6a27dbc35054f,Bachelors
22975,~01a9e719e88fda2d40,Masters
22976,~01d18d9cbdae0136ed,Bachelors
22977,~014913f41cc4a701e2,Masters
22978,~01afef7cdfd3d812c0,Bachelors
22979,~01a3bc112bf04fe84d,Bachelors
22980,~01754c72e413484592,Masters
22981,~0117769442b2a844e5,other
22982,~015fad47162ae1bd00,Bachelors
22983,~0169f0649e7a4f1b11,
22984,~011984f1fb604bc2ff,Bachelors
22985,~012fb0c268853bd229,Masters
22986,~0174eafa468b865978,Masters
22987,~015df55d126a36a14f,Bachelors
22988,~017caf3d59a29dd247,Masters
22989,~014a0a73031b55f6a5,Bachelors
22990,~01ee4eccf88a6c49d1,Bachelors
22991,~0145c0321132a92f25,PhD
22992,~013b32977c777ac157,
22993,~01b7f7f7bd93db7786,Bachelors
22994,~01f2bc0d9e5a5e7bd3,Bachelors
22995,~015adeba635cfe6dad,Bachelors
22996,~01528a6bf9faedc838,Masters
22997,~015915fbdfaaebff3e,Masters
22998,~01783299be3ebe79b6,Bachelors
22999,~018c7c2f14909e7f58,Bachelors
23000,~01c27a2872bf22ed61,Masters
23001,~01ff6602536de308aa,
23002,~013fcce84ad6f963a2,Bachelors
23003,~01e93f661ae6ea065b,Associates
23004,~0150e2db2844a32d69,Masters
23005,~016b6030baaac6db95,Associates
23006,~0191d3d422a5b864ce,Masters
23007,~01d4d439190c93b60f,Masters
23008,~01785ec24ebeabb352,
23009,~01fafa864addfab448,Masters
23010,~0190b4bee23a4e7236,PhD
23011,~011080088b2ab9362b,
23012,~01dfcd4aa5a86ef589,Bachelors
23013,~01b69dcd52c4ac8c47,Bachelors
23014,~0129f9946cad115fea,Bachelors
23015,~01de5a06004c26dec5,Bachelors
23016,~01ff095928c42326c9,Masters
23017,~0167b5c6c13afef8d9,Bachelors
23018,~01b9a2a326ced19329,Masters
23019,~01a550046e342969ea,Masters
23020,~0183766d41dd7d3fce,Masters
23021,~011446d11930d5d4fd,Bachelors
23022,~0108fe032c3e529118,Masters
23023,~01969c45f2705c81d7,Bachelors
23024,~019df803cc136b9900,Bachelors
23025,~0186b174f196a124e7,Masters
23026,~010641d4bfdc5b69bf,Masters
23027,~01ce122760b3b01312,
23028,~01e7def639a6d33368,Bachelors
23029,~01a023a8ee9b74c81e,Bachelors
23030,~010d56aaf974252078,PhD
23031,~01e0cce927b59eef4b,Masters
23032,~017b4c267424266030,Bachelors
23033,~013c980b1b2c00ff27,Bachelors
23034,~0156579450a81928b5,Bachelors
23035,~01764e5dafa235d33d,Masters
23036,~01686ec83db8a5c7aa,Bachelors
23037,~01bd816bdde0297a82,Masters
23038,~016963bbd87459c13f,Masters
23039,~0168ecdac05784d868,Bachelors
23040,~015350d0544827ee8d,Bachelors
23041,~01df772528119f9348,
23042,~0154dc5e1d07288e38,Bachelors
23043,~01c693dfdc17156e68,Masters
23044,~01f0f7b90a420e6d72,
23045,~01e7c499d95d076471,Bachelors
23046,~0138e11e6909994aae,Bachelors
23047,~019ba8893c1eb49f6e,Masters
23048,~0103b8cbfebedb9de6,Bachelors
23049,~01fafb5b56a13caa3f,Bachelors
23050,~0113a609a1f0d521f6,Bachelors
